price,city,address,property_size,property_type,amenities,listing_url,page
3806425.0,Madrid,28046 Madrid,3444.0,Condo/Apartment,"Air conditioning,Alarm,Intercom,Lift,Garage",https://www.properstar.com/listing/105174691,
217401.0,Madrid,Madrid,603.0,Condo/Apartment,"Air conditioning,Lift,Dishwasher,Furnished,Washing machine",https://www.properstar.com/listing/103506274,
1076674.0,Madrid,28004 Madrid,1141.0,Condo/Apartment,"Air conditioning,Furnished,Lift",https://www.properstar.com/listing/105283887,
2000004.0,Madrid,28010 Madrid,1475.0,Condo/Apartment,"Air conditioning,Furnished,Lift,Terrace",https://www.properstar.com/listing/105314922,
1042960.0,Madrid,28004 Madrid,1206.0,Condo/Apartment,"Air conditioning,Furnished,Balcony",https://www.properstar.com/listing/105283592,
781948.0,Madrid,28006 Madrid,538.0,Condo/Apartment,"Air conditioning,Furnished,Lift",https://www.properstar.com/listing/105317003,
2392610.0,Madrid,28009 Madrid,1528.0,Condo/Apartment,"Lift,Terrace",https://www.properstar.com/listing/104557758,
3915180.0,Madrid,28002 Madrid,2616.0,Condo/Apartment,"Air conditioning,Garden,Lift,Parking,Swimming pool,Terrace",https://www.properstar.com/listing/100553198,
4132690.0,Madrid,28006 Madrid,2142.0,Condo/Apartment,"Balcony,Air conditioning,Furnished",https://www.properstar.com/listing/105360218,
2381734.0,Madrid,28036 Madrid,1981.0,Condo/Apartment,"Air conditioning,Swimming pool,Parking",https://www.properstar.com/listing/105482250,
1859710.0,Madrid,28010 Madrid,1421.0,Condo/Apartment,"Lift,Swimming pool",https://www.properstar.com/listing/105482249,
2555742.0,Madrid,28004 Madrid,1884.0,Condo/Apartment,"Air conditioning,Balcony,Lift",https://www.properstar.com/listing/105478716,
924417.0,Madrid,28006 Madrid,980.0,Condo/Apartment,"Air conditioning,Dishwasher,Fitness centre,Furnished,Garage,Intercom,Internet,Lift,Swimming pool,Washing machine,Parking,Terrace",https://www.properstar.com/listing/103339178,
1734642.0,Madrid,28001 Madrid,1464.0,Condo/Apartment,"24/7 concierge,Air conditioning,Garage,Intercom,Internet,Lift",https://www.properstar.com/listing/105353576,
3017951.0,Madrid,28004 Madrid,2702.0,Condo/Apartment,"24/7 concierge,Air conditioning,Balcony,Furnished,Lift",https://www.properstar.com/listing/105442353,
1685702.0,Madrid,28016 Madrid,2174.0,Condo/Apartment,"24/7 concierge,Air conditioning,Fitness centre,Furnished,Garage,Lift,Swimming pool,Terrace,Washing machine",https://www.properstar.com/listing/104491709,
1141927.0,Madrid,28005 Madrid,1184.0,Condo/Apartment,"Air conditioning,Intercom,Lift",https://www.properstar.com/listing/105202747,
304514.0,Madrid,28039 Madrid,560.0,Property,Air conditioning,https://www.properstar.com/listing/105343301,
1008485.0,Madrid,Madrid,1905.0,Condo/Apartment,"Air conditioning,Lift,Swimming pool,Terrace,Fitness centre",https://www.properstar.com/listing/105244974,
870040.0,Madrid,28012 Madrid,1130.0,Condo/Apartment,"Air conditioning,Intercom,Lift,24/7 concierge,Balcony",https://www.properstar.com/listing/105202748,
2619908.0,Madrid,28006 Madrid,1744.0,Condo/Apartment,"Air conditioning,Furnished,Lift",https://www.properstar.com/listing/105315608,
825450.0,Madrid,28004 Madrid,753.0,Condo/Apartment,"Air conditioning,Furnished,Lift",https://www.properstar.com/listing/105318632,
2456775.0,Madrid,28006 Madrid,2120.0,Condo/Apartment,"Air conditioning,Balcony,Lift,Terrace",https://www.properstar.com/listing/105447996,
3251774.0,Madrid,28004 Madrid,2497.0,Condo/Apartment,"Air conditioning,Balcony,Lift,Furnished",https://www.properstar.com/listing/105447983,
2392610.0,Madrid,28004 Madrid,1776.0,Condo/Apartment,"Balcony,Swimming pool,Furnished",https://www.properstar.com/listing/105482244,
1723767.0,Madrid,28009 Madrid,1442.0,Condo/Apartment,"Balcony,Terrace",https://www.properstar.com/listing/104779567,
2718875.0,Madrid,Aravaca,8191.0,House,"Barbecue,Garage,Garden,Parking,Swimming pool,Terrace",https://www.properstar.com/listing/105384841,
815662.0,Madrid,28006 Madrid,753.0,Condo/Apartment,"Balcony,Lift,Washing machine",https://www.properstar.com/listing/105482245,
913542.0,Madrid,Madrid,1507.0,Condo/Apartment,"Balcony,Swimming pool",https://www.properstar.com/listing/102851950,
674281.0,Madrid,28008 Madrid,840.0,Condo/Apartment,"Balcony,Swimming pool",https://www.properstar.com/listing/102851949,
27733.0,Madrid,28043 Madrid,,Property,"Lift,Security",https://www.properstar.com/listing/103256806,
1402939.0,Madrid,28004 Madrid,1442.0,Condo/Apartment,"Balcony,Air conditioning,Terrace",https://www.properstar.com/listing/105482246,
192496.0,Madrid,28005 Madrid,614.0,Property,,https://www.properstar.com/listing/92598506,
6193597.0,Madrid,28001 Madrid,3477.0,Condo/Apartment,"24/7 concierge,Air conditioning,Furnished,Intercom,Lift,Terrace,Washing machine",https://www.properstar.com/listing/100985678,
5111485.0,Madrid,28006 Madrid,3767.0,Condo/Apartment,Lift,https://www.properstar.com/listing/105386823,
1750955.0,Madrid,28012 Madrid,1894.0,Condo/Apartment,"Lift,Swimming pool",https://www.properstar.com/listing/105482247,
1250682.0,Madrid,28015 Madrid,872.0,Condo/Apartment,"Lift,Swimming pool,Terrace",https://www.properstar.com/listing/102851947,
2229477.0,Madrid,28004 Madrid,1658.0,Condo/Apartment,Balcony,https://www.properstar.com/listing/105470264,
196847.0,Madrid,28027 Madrid,517.0,Condo/Apartment,,https://www.properstar.com/listing/103214537,
2033718.0,Madrid,28015 Madrid,2024.0,Condo/Apartment,"Lift,Swimming pool,Furnished",https://www.properstar.com/listing/105449765,
1032085.0,Madrid,28005 Madrid,1313.0,Condo/Apartment,"Air conditioning,Balcony,Intercom,Lift",https://www.properstar.com/listing/103454749,
451333.0,Madrid,28039 Madrid,1636.0,Loft,"Intercom,Swimming pool,Terrace",https://www.properstar.com/listing/102129033,
1250682.0,Madrid,28006 Madrid,1173.0,Condo/Apartment,"Balcony,Lift",https://www.properstar.com/listing/105447993,
6851565.0,Madrid,28010 Madrid,2992.0,Condo/Apartment,"Balcony,Swimming pool,Furnished,Parking",https://www.properstar.com/listing/105449766,
2147911.0,Madrid,Madrid,1076.0,Condo/Apartment,"Air conditioning,Fitness centre,Hot tub,Lift,Swimming pool",https://www.properstar.com/listing/103906445,
424144.0,Madrid,28039 Madrid,1539.0,Loft,"Intercom,Swimming pool,Terrace",https://www.properstar.com/listing/102129032,
70691.0,Madrid,Madrid,549.0,Condo/Apartment,,https://www.properstar.com/listing/105344089,
1685702.0,Madrid,28016 Madrid,1399.0,Condo/Apartment,"Lift,Garage,Swimming pool,Terrace",https://www.properstar.com/listing/104111639,
510061.0,Madrid,28039 Madrid,958.0,Condo/Apartment,"Air conditioning,Lift,Balcony,Garage",https://www.properstar.com/listing/103156717,
